epoch,train_seg_loss,train_edge_loss,train_total_loss,val_seg_loss,val_edge_loss,val_total_loss,learning_rate,epoch_time_sec,gpu_mem_mb
1,1.3035765614678112,1.0355285707977357,2.339105130828096,1.2514142499017558,1.0341356561033432,2.2855499020446572,0.0001,1099.6699228286743,2374.07763671875
2,1.2741733161922304,1.0332465045169585,2.3074198209322416,1.2301042464088363,1.0335528692137759,2.263657110474038,0.0001,1084.5652339458466,2386.0791015625
3,1.2646108847398025,1.0334229470290661,2.298033831471465,1.2223455426700884,1.0321828950679184,2.254528436945918,0.0001,1088.972609758377,2385.9541015625
4,1.2594057956505218,1.0329718018519902,2.2923775997082556,1.2293029469113017,1.032954676602766,2.262257617177361,0.0001,1091.2332227230072,2385.4541015625
5,1.251381011960908,1.0323002337913751,2.2836812448600723,1.2171076096569582,1.032783604935554,2.249891230434278,0.0001,1090.393753528595,2385.9541015625
6,1.2509159231879854,1.032035281033625,2.282951204593365,1.217408736480827,1.0328437842403932,2.250252525671772,0.0001,1091.6562993526459,2385.9541015625
7,1.246784784987166,1.0318177472033272,2.2786025340740497,1.2163229970836957,1.0314587623970057,2.247781758688613,0.0001,1090.7524392604828,2385.9541015625
8,1.2458401168458426,1.031969845121467,2.2778099627108186,1.2098417583098047,1.0317870873549453,2.2416288448726616,0.0001,1087.810772895813,2386.0791015625
9,1.2420915187520445,1.0316158650075076,2.2737073817025104,1.213795189445597,1.032838814084316,2.2466340021437583,0.0001,1092.5021240711212,2385.9541015625
10,1.2402884892267398,1.0313446794874703,2.27163316871421,1.2179913811905438,1.0322197574713698,2.2502111358896046,0.0001,1090.4190769195557,2385.9541015625
11,1.2433030726260306,1.0314494545147475,2.274752526124649,1.2088686182253385,1.030831450243725,2.2397000654987322,0.0001,1096.11692404747,2385.5791015625
12,1.2365723366053338,1.0311264013302301,2.2676987397199855,1.2045154127963753,1.0296900331776007,2.23420545112255,0.0001,1092.6441142559052,2386.0791015625
13,1.2381376128186803,1.0311242372231275,2.2692618485052223,1.2129441782881651,1.0317936832722636,2.2447378678971353,0.0001,1088.96892786026,2386.0791015625
14,1.2359466404528232,1.0311089067350059,2.267055549790111,1.2518348499786023,1.0322991407590847,2.2841339895495545,0.0001,1088.0943820476532,2386.0791015625
15,1.2367558147456195,1.0308164032977734,2.2675722171759656,1.212081051942122,1.0309074861662728,2.242988533355865,0.0001,1090.1614303588867,2386.0791015625
16,1.2345701002033733,1.0308433385004372,2.265413437861167,1.1971176811230935,1.0301782898728633,2.2272959622829855,0.0001,1089.9697811603546,2385.9541015625
17,1.23521202331769,1.0311873848621662,2.266399408675529,1.2065855363674733,1.0298191475313763,2.23640467914632,0.0001,1088.3311965465546,2386.7041015625
18,1.232524513405227,1.0309466498061675,2.2634711633353124,1.2035408457648318,1.031155380299717,2.234696215569379,0.0001,1091.070734500885,2386.0791015625
19,1.2306066740823138,1.0307005339749389,2.2613072078094163,1.2019924252136205,1.0301128316955313,2.232105259879483,0.0001,1088.4679930210114,2385.9541015625
20,1.2286220024380516,1.0305403643982822,2.2591623679515975,1.2049976177389836,1.0307650300751492,2.23576265038842,0.0001,1093.809190750122,2386.7041015625
21,1.2291916913153476,1.0310682832575142,2.260259971648393,1.205008396080562,1.0306222854658615,2.235630678576092,0.0001,1092.1757943630219,2386.0791015625
22,1.2276441041248505,1.0303839280302955,2.2580280332704095,1.2011894969845136,1.0304670723965794,2.2316565576977903,0.0001,1093.4859111309052,2385.9541015625
23,1.2312821872516877,1.0305574597291292,2.261839644378535,1.203142003165527,1.030156511999048,2.2332985290261202,0.0001,1086.4996497631073,2386.7041015625
24,1.2276794808818001,1.030336122354202,2.2580156029385985,1.202330114041452,1.0306292233673044,2.2329593397850216,0.0001,1083.5775790214539,2386.0791015625
25,1.2265846301265169,1.030797729026255,2.257382358533181,1.204306732182487,1.0297551208556293,2.2340618518499835,0.0001,1091.2758588790894,2385.9541015625
