epoch,train_seg_loss,train_edge_loss,train_total_loss,val_seg_loss,val_edge_loss,val_total_loss,learning_rate,epoch_time_sec,gpu_mem_mb
1,2.0834310054779053,1.6462615728378296,3.7296924591064453,1.9478392601013184,1.6407097578048706,3.5885491371154785,0.001,1.0272791385650635,1481.46533203125
2,2.0428695678710938,1.6286060810089111,3.671475648880005,1.9514272212982178,1.6529335975646973,3.604360818862915,0.001,0.18830060958862305,1844.806640625
3,1.923828125,1.6185557842254639,3.542383909225464,1.984450340270996,1.6999672651290894,3.684417724609375,0.001,0.17236661911010742,1844.806640625
4,1.8563498258590698,1.5878586769104004,3.4442086219787598,2.0265963077545166,1.6690771579742432,3.6956734657287598,0.001,0.1756298542022705,1844.806640625
5,1.8127003908157349,1.576572060585022,3.389272451400757,1.9918359518051147,1.7338371276855469,3.725673198699951,0.001,0.18165969848632812,1844.806640625
6,1.7682249546051025,1.5357141494750977,3.3039391040802,1.982342004776001,1.7922536134719849,3.7745957374572754,0.001,0.17721247673034668,1844.806640625
7,1.742830753326416,1.5129215717315674,3.2557523250579834,1.899407148361206,1.8488327264785767,3.7482399940490723,0.001,0.1751117706298828,1844.806640625
8,1.7115885019302368,1.4918453693389893,3.2034339904785156,1.8654967546463013,1.8597760200500488,3.7252726554870605,0.001,0.18018388748168945,1844.806640625
9,1.6833524703979492,1.4730216264724731,3.156373977661133,1.9056463241577148,1.7906270027160645,3.6962733268737793,0.001,0.17589950561523438,1844.806640625
10,1.6532554626464844,1.4548163414001465,3.108071804046631,1.8877248764038086,1.6528456211090088,3.5405704975128174,0.001,0.17873883247375488,1844.806640625
11,1.6270740032196045,1.4418718814849854,3.06894588470459,1.8556278944015503,1.6018099784851074,3.4574379920959473,0.001,0.17394256591796875,1844.806640625
12,1.6041553020477295,1.4283463954925537,3.032501697540283,1.8526065349578857,1.6151528358459473,3.467759370803833,0.001,0.17436957359313965,1844.806640625
13,1.587934970855713,1.4176232814788818,3.0055582523345947,1.8914873600006104,1.6328517198562622,3.524339199066162,0.001,0.17897629737854004,1844.806640625
14,1.5638678073883057,1.4060046672821045,2.96987247467041,1.8802378177642822,1.6006367206573486,3.480874538421631,0.001,0.1774427890777588,1844.806640625
15,1.5461273193359375,1.3968853950500488,2.9430127143859863,1.8928475379943848,1.5871772766113281,3.480024814605713,0.001,0.17823004722595215,1844.806640625
16,1.5315096378326416,1.3889048099517822,2.920414447784424,1.7025935649871826,1.4628973007202148,3.1654908657073975,0.001,0.1776261329650879,1844.806640625
17,1.5164952278137207,1.3823955059051514,2.898890733718872,1.774918556213379,1.508306622505188,3.2832250595092773,0.001,0.17388486862182617,1844.806640625
18,1.5098071098327637,1.3744029998779297,2.8842101097106934,1.6141576766967773,1.4132860898971558,3.0274438858032227,0.001,0.17607879638671875,1844.806640625
19,1.4952352046966553,1.3679006099700928,2.863135814666748,1.680762529373169,1.4865933656692505,3.167356014251709,0.001,0.17838001251220703,1844.806640625
20,1.4848597049713135,1.3610986471176147,2.8459582328796387,1.657353162765503,1.4560517072677612,3.1134047508239746,0.001,0.1798689365386963,1844.806640625
21,1.4745668172836304,1.355197787284851,2.8297646045684814,1.6051803827285767,1.3878734111785889,2.993053913116455,0.001,0.17872834205627441,1844.806640625
22,1.4645311832427979,1.3497017621994019,2.81423282623291,1.599200963973999,1.3690197467803955,2.9682207107543945,0.001,0.18310189247131348,1844.806640625
23,1.4549769163131714,1.3454854488372803,2.800462245941162,1.6437363624572754,1.4311164617538452,3.07485294342041,0.001,0.1819744110107422,1844.806640625
24,1.4480212926864624,1.3406107425689697,2.7886319160461426,1.6336352825164795,1.431570291519165,3.0652055740356445,0.001,0.18658447265625,1844.806640625
25,1.4391368627548218,1.3360222578048706,2.7751591205596924,1.537430763244629,1.380687952041626,2.918118715286255,0.001,0.19260001182556152,1844.806640625
