epoch,train_seg_loss,train_edge_loss,train_total_loss,val_seg_loss,val_edge_loss,val_total_loss,learning_rate,epoch_time_sec,gpu_mem_mb
1,2.1108002573102462,2.0632899186647,4.191518294890854,1.5838274508232437,1.5851451455582306,3.168972594838312,9.990232305719945e-05,1112.0377821922302,2375.615234375
2,1.9137265771776686,1.925911189369447,3.8607787735673145,1.5852357639078183,1.577644222376802,3.1628799963151755,9.960967771506666e-05,1108.8144707679749,2390.3671875
3,1.8644573957673298,1.873507582136307,3.7827552055476703,1.6235886873936576,1.585717184643915,3.2093058712659914,9.912321891107009e-05,1087.2925934791565,2390.3671875
4,1.8597828819974636,1.8758803645836093,3.786118649381628,1.600453126777723,1.5832843776659673,3.1837375094589677,9.844486647586723e-05,1091.0580217838287,2390.3671875
5,1.826969137026591,1.8422721265651945,3.7268523085296454,1.5973988806159751,1.5755410919683266,3.1729399756706265,9.757729755661011e-05,1099.483379125595,2390.3671875
6,1.790682433443595,1.8118657516517702,3.6631755664671006,1.6907072202287445,1.6443710755375982,3.3350782949947617,9.652393605146844e-05,1088.635538816452,2390.3671875
7,1.8011640273469915,1.8244287589058057,3.6859991777321333,1.656795004810716,1.581965677560726,3.238760679670908,9.528893909706797e-05,1090.9580121040344,2390.3671875
8,1.75191097914277,1.7904644288085338,3.6035019567295388,1.5569930103604461,1.556654700955141,3.113647709386634,9.387718066217124e-05,1090.4008326530457,2390.3671875
9,1.7509355402251516,1.7776925913081543,3.5922035318185173,1.6104025632432364,1.5747791297227434,3.185181696438095,9.229423231234974e-05,1094.3864960670471,2390.3671875
10,1.7346030364251495,1.7593830649761206,3.557308231749399,1.561437611826801,1.5467472983023882,3.1081849163018385,9.054634122155989e-05,1101.257574558258,2390.3671875
11,1.7099199632869937,1.7446721213588332,3.5178745582028106,1.5920286579811072,1.5634278032000397,3.1554564604095656,8.864040551740155e-05,1095.6982691287994,2390.3671875
12,1.6941640845224735,1.7330794882694747,3.490145740505053,1.589660540367793,1.5656827614916953,3.1553432941436768,8.658394705735986e-05,1096.838942527771,2390.3671875
13,1.6934807439877315,1.7453281163970298,3.5047233582339024,1.6269591541352009,1.591275572391004,3.2182347164956497,8.438508174347008e-05,1088.1525864601135,2390.3671875
14,1.6778072070995833,1.719768853289058,3.460925920280272,1.6101388923558602,1.5603973290681068,3.1705362210381764,8.205248749256013e-05,1089.3097503185272,2390.3671875
15,1.643172183448763,1.7012286965854977,3.4082142704715315,1.6097516554459013,1.5604482414653,3.1701999011548976,7.959536998847742e-05,1100.9057970046997,2390.3671875
16,1.6345805510853686,1.6922313054535345,3.391316645531503,1.659895653863555,1.5817347016535144,3.2416303566744413,7.702342635146032e-05,1096.412696838379,2390.3671875
17,1.625773153092109,1.679034549127238,3.3694565915106134,1.6997548905005346,1.5964300505165916,3.2961849502761003,7.434680686803489e-05,1092.9376604557037,2390.3671875
18,1.6159872886334516,1.6756647801359428,3.356302613308513,1.6332400292640366,1.5792230039738528,3.212463030151565,7.157607493247108e-05,1094.777836561203,2390.3671875
