epoch,train_seg_loss,train_edge_loss,train_total_loss,val_seg_loss,val_edge_loss,val_total_loss,learning_rate,epoch_time_sec,gpu_mem_mb
1,2.414047956466675,5.253218650817871,7.667266845703125,2.4061784744262695,5.122262477874756,7.528440952301025,0.001,0.819082498550415,1481.46533203125
2,2.2727408409118652,4.788294792175293,7.061035633087158,2.4031853675842285,5.0775251388549805,7.480710506439209,0.001,0.1827406883239746,1844.806640625
3,2.3341870307922363,3.9265384674072266,6.260725498199463,2.3847579956054688,4.997989654541016,7.382747650146484,0.001,0.17530369758605957,1844.806640625
4,2.030656099319458,2.6092820167541504,4.6399383544921875,2.3437747955322266,4.822515964508057,7.166290760040283,0.001,0.174360990524292,1844.806640625
5,2.0019993782043457,2.473452568054199,4.475451946258545,2.339594602584839,5.014892101287842,7.354486465454102,0.001,0.17793488502502441,1844.806640625
6,1.9539250135421753,2.0863475799560547,4.0402727127075195,2.219888210296631,4.303798198699951,6.523686408996582,0.001,0.1770155429840088,1844.806640625
7,1.9162704944610596,2.033254623413086,3.9495251178741455,2.149247646331787,3.8910672664642334,6.040314674377441,0.001,0.18540000915527344,1844.806640625
8,1.8811883926391602,1.9233462810516357,3.804534673690796,2.1244637966156006,3.4520986080169678,5.576562404632568,0.001,0.18067598342895508,1844.806640625
9,1.8570585250854492,1.888005018234253,3.745063543319702,2.113351821899414,3.0285444259643555,5.1418962478637695,0.001,0.18002796173095703,1844.806640625
10,1.8340449333190918,1.8657282590866089,3.6997733116149902,2.114331007003784,2.7463369369506836,4.860668182373047,0.001,0.18382573127746582,1844.806640625
11,1.8120871782302856,1.8447489738464355,3.6568360328674316,2.1212997436523438,2.616929054260254,4.738228797912598,0.001,0.17800664901733398,1844.806640625
12,1.78814697265625,1.825386643409729,3.6135334968566895,2.1074209213256836,2.539419174194336,4.6468400955200195,0.001,0.17672324180603027,1844.806640625
13,1.7639594078063965,1.8123564720153809,3.5763158798217773,2.058230400085449,2.437429904937744,4.495660305023193,0.001,0.17552685737609863,1844.806640625
14,1.7414203882217407,1.8029018640518188,3.5443222522735596,2.0025241374969482,2.3377649784088135,4.340289115905762,0.001,0.17795944213867188,1844.806640625
15,1.7218623161315918,1.7961328029632568,3.5179951190948486,1.9639978408813477,2.286945343017578,4.250943183898926,0.001,0.17618441581726074,1844.806640625
16,1.7056101560592651,1.7906012535095215,3.496211528778076,1.9360544681549072,2.246608018875122,4.182662487030029,0.001,0.18033671379089355,1844.806640625
17,1.6916563510894775,1.7843722105026245,3.4760284423828125,1.9022274017333984,2.194870948791504,4.097098350524902,0.001,0.17766284942626953,1844.806640625
18,1.6776182651519775,1.7734194993972778,3.451037883758545,1.8778858184814453,2.1912875175476074,4.069173336029053,0.001,0.17968034744262695,1844.806640625
19,1.6647398471832275,1.7656084299087524,3.4303483963012695,1.8643757104873657,2.220895767211914,4.08527135848999,0.001,0.18511271476745605,1844.806640625
20,1.6502885818481445,1.758368730545044,3.4086573123931885,1.8547542095184326,2.218017816543579,4.072772026062012,0.001,0.1780719757080078,1844.806640625
21,1.6356704235076904,1.7502623796463013,3.3859329223632812,1.8483917713165283,2.2012200355529785,4.049612045288086,0.001,0.1741161346435547,1844.806640625
22,1.622866153717041,1.7418118715286255,3.364677906036377,1.8488783836364746,2.185173273086548,4.034051895141602,0.001,0.17734932899475098,1844.806640625
23,1.60929274559021,1.7354662418365479,3.344758987426758,1.8521535396575928,2.188526153564453,4.040679931640625,0.001,0.17755603790283203,1844.806640625
24,1.5955510139465332,1.730107307434082,3.3256583213806152,1.8615490198135376,2.2220282554626465,4.0835771560668945,0.001,0.18295955657958984,1844.806640625
25,1.5834994316101074,1.7230720520019531,3.3065714836120605,1.8446404933929443,2.188776731491089,4.033417224884033,0.001,0.18168354034423828,1844.806640625
26,1.5728511810302734,1.714200735092163,3.2870519161224365,1.7958428859710693,2.070842742919922,3.866685628890991,0.001,0.3335578441619873,1844.806640625
27,1.5616265535354614,1.70681893825531,3.2684454917907715,1.7619526386260986,2.0305728912353516,3.79252552986145,0.001,0.187269926071167,1844.806640625
28,1.5512855052947998,1.6992989778518677,3.250584602355957,1.7022638320922852,1.9379830360412598,3.640246868133545,0.001,0.17661619186401367,1844.806640625
29,1.5440149307250977,1.692148208618164,3.2361631393432617,1.6809988021850586,1.9328136444091797,3.6138124465942383,0.001,0.17892241477966309,1844.806640625
30,1.5335922241210938,1.6886237859725952,3.2222161293029785,1.5663753747940063,1.675998330116272,3.2423737049102783,0.001,0.18320751190185547,1844.806640625
31,1.539933443069458,1.6935458183288574,3.2334792613983154,1.6025378704071045,1.7417938709259033,3.344331741333008,0.001,0.1878528594970703,1844.806640625
32,1.5359480381011963,1.715456247329712,3.251404285430908,2.019498348236084,2.3248181343078613,4.344316482543945,0.001,0.1921532154083252,1844.806640625
33,1.5490779876708984,1.7079988718032837,3.2570767402648926,2.1042983531951904,2.45596981048584,4.560268402099609,0.001,0.17888426780700684,1844.806640625
34,1.5434436798095703,1.7089347839355469,3.252378463745117,2.067552089691162,2.429521083831787,4.497073173522949,0.001,0.17998385429382324,1844.806640625
35,1.5342700481414795,1.701575517654419,3.2358455657958984,1.9943829774856567,2.3670735359191895,4.361456394195557,0.001,0.1889946460723877,1844.806640625
36,1.5230495929718018,1.6844720840454102,3.207521677017212,1.869765043258667,2.215444326400757,4.085209369659424,0.001,0.17019081115722656,1844.806640625
37,1.515354871749878,1.677093505859375,3.192448377609253,1.7229647636413574,2.0396811962127686,3.762645959854126,0.001,0.17336463928222656,1844.806640625
38,1.503086805343628,1.6618876457214355,3.1649744510650635,1.620663046836853,1.9175708293914795,3.538233757019043,0.001,0.1762101650238037,1844.806640625
39,1.4938149452209473,1.6578147411346436,3.151629686355591,1.6122156381607056,1.9187204837799072,3.5309362411499023,0.001,0.1854093074798584,1844.806640625
40,1.486584186553955,1.6491374969482422,3.1357216835021973,1.5749626159667969,1.853307843208313,3.4282703399658203,0.001,0.17341208457946777,1844.806640625
41,1.478827714920044,1.6444621086120605,3.1232898235321045,1.514695644378662,1.730821967124939,3.2455177307128906,0.001,0.1714620590209961,1844.806640625
42,1.4652268886566162,1.6259275674819946,3.0911545753479004,1.4753837585449219,1.6666638851165771,3.142047643661499,0.001,0.17262482643127441,1844.806640625
43,1.4582509994506836,1.6194345951080322,3.077685594558716,1.4544262886047363,1.640727162361145,3.095153331756592,0.001,0.16977453231811523,1844.806640625
44,1.4505897760391235,1.6081377267837524,3.058727502822876,1.4337877035140991,1.6072157621383667,3.041003465652466,0.001,0.17278695106506348,1844.806640625
45,1.4417518377304077,1.5972046852111816,3.038956642150879,1.4156419038772583,1.5811424255371094,2.996784210205078,0.001,0.17214465141296387,1844.806640625
46,1.4322443008422852,1.5882916450500488,3.020535945892334,1.4068174362182617,1.5727996826171875,2.979617118835449,0.001,0.1801769733428955,1844.806640625
47,1.4243931770324707,1.582200288772583,3.0065934658050537,1.398904800415039,1.5685389041900635,2.9674437046051025,0.001,0.17310023307800293,1844.806640625
48,1.4155340194702148,1.5730535984039307,2.9885876178741455,1.3903534412384033,1.5672812461853027,2.957634687423706,0.001,0.17890000343322754,1844.806640625
49,1.4077098369598389,1.562922477722168,2.970632314682007,1.387458086013794,1.5727076530456543,2.9601657390594482,0.001,0.1726539134979248,1844.806640625
50,1.4019286632537842,1.5544893741607666,2.956418037414551,1.3819855451583862,1.5682419538497925,2.9502274990081787,0.001,0.17130494117736816,1844.806640625
51,1.3939919471740723,1.5457979440689087,2.9397897720336914,1.373964548110962,1.5553580522537231,2.9293227195739746,0.001,0.17131757736206055,1844.806640625
52,1.3848292827606201,1.5368483066558838,2.921677589416504,1.3689016103744507,1.5457651615142822,2.9146666526794434,0.001,0.17248320579528809,1844.806640625
53,1.3773996829986572,1.5295668840408325,2.9069666862487793,1.3632689714431763,1.5390251874923706,2.902294158935547,0.001,0.17454886436462402,1844.806640625
54,1.3703149557113647,1.5215880870819092,2.8919029235839844,1.3554573059082031,1.5317354202270508,2.887192726135254,0.001,0.17529034614562988,1844.806640625
55,1.3634443283081055,1.513166069984436,2.876610279083252,1.345487117767334,1.5206393003463745,2.866126537322998,0.001,0.17270278930664062,1844.806640625
56,1.356339693069458,1.5043190717697144,2.860658645629883,1.3380398750305176,1.513403296470642,2.851443290710449,0.001,0.17220735549926758,1844.806640625
57,1.3500192165374756,1.4972665309906006,2.847285747528076,1.331617832183838,1.5035139322280884,2.8351316452026367,0.001,0.17373251914978027,1844.806640625
58,1.3430198431015015,1.489656686782837,2.832676410675049,1.3266065120697021,1.4984245300292969,2.825031042098999,0.001,0.17262649536132812,1844.806640625
59,1.3361949920654297,1.483581304550171,2.8197762966156006,1.3213411569595337,1.4941116571426392,2.815452814102173,0.001,0.16964435577392578,1844.806640625
60,1.3298394680023193,1.4779547452926636,2.8077940940856934,1.3151335716247559,1.4849690198898315,2.800102710723877,0.001,0.17473578453063965,1844.806640625
61,1.3237175941467285,1.4713605642318726,2.7950782775878906,1.3098124265670776,1.474029779434204,2.783842086791992,0.001,0.1713714599609375,1844.806640625
62,1.31797456741333,1.4652239084243774,2.783198356628418,1.3057345151901245,1.4660120010375977,2.7717466354370117,0.001,0.171433687210083,1844.806640625
63,1.312049150466919,1.4596455097198486,2.7716946601867676,1.3018909692764282,1.4603228569030762,2.762213706970215,0.001,0.17229318618774414,1844.806640625
64,1.306199312210083,1.454633116722107,2.7608323097229004,1.2965638637542725,1.4538474082946777,2.75041127204895,0.001,0.17349553108215332,1844.806640625
