epoch,train_seg_loss,train_edge_loss,train_total_loss,val_seg_loss,val_edge_loss,val_total_loss,learning_rate,epoch_time_sec,gpu_mem_mb
1,3.154433488845825,8.919760704040527,12.074193954467773,3.3789806365966797,8.598555564880371,11.97753620147705,0.001,0.8559780120849609,1481.46533203125
2,2.2838518619537354,5.934778213500977,8.218629837036133,3.315253734588623,8.313920021057129,11.629173278808594,0.001,0.18840789794921875,1844.806640625
3,2.5457396507263184,4.445738792419434,6.991478443145752,2.4574408531188965,6.114577770233154,8.57201862335205,0.001,0.1862049102783203,1844.806640625
4,2.158215045928955,3.971024990081787,6.129240036010742,2.3544676303863525,6.259140968322754,8.613608360290527,0.001,0.17707061767578125,1844.806640625
5,1.859776496887207,2.6728696823120117,4.532646179199219,2.255307674407959,6.757445812225342,9.0127534866333,0.001,0.17955851554870605,1844.806640625
6,1.8113185167312622,2.2923004627227783,4.10361909866333,2.141404628753662,6.192021369934082,8.333425521850586,0.001,0.17671632766723633,1844.806640625
7,1.7899706363677979,2.0513734817504883,3.841344118118286,2.1488099098205566,4.79248046875,6.941290378570557,0.001,0.17601466178894043,1844.806640625
8,1.7704863548278809,1.965698480606079,3.73618483543396,2.5092356204986572,3.35805082321167,5.867286682128906,0.001,0.18259859085083008,1844.806640625
9,1.7504624128341675,1.9235000610351562,3.6739625930786133,3.2173821926116943,3.340144157409668,6.557526588439941,0.001,0.17614150047302246,1844.806640625
10,1.727419376373291,1.8674046993255615,3.5948240756988525,3.9208340644836426,4.076007843017578,7.996841907501221,0.001,0.17955923080444336,1844.806640625
11,1.71099853515625,1.8390564918518066,3.5500550270080566,4.327077865600586,4.69503116607666,9.022109031677246,0.001,0.17749738693237305,1844.806640625
12,1.6990834474563599,1.8354341983795166,3.534517765045166,4.541575908660889,5.160806655883789,9.702383041381836,0.001,0.1750180721282959,1844.806640625
13,1.687121033668518,1.82612943649292,3.5132503509521484,4.718324184417725,5.5855841636657715,10.303908348083496,0.001,0.1758744716644287,1844.806640625
